Bananaquit
Barred Forest Falcon
Blue Manakin
Buff-throated Woodcreeper
Eulers Flycatcher
Ferruginous Antshrike
Giant Antshrike
Golden-crowned Warbler
Green-winged Saltator
House Wren
Lesser Woodcreeper
Long-billed Wren
Ochre-rumped Antbird
Olivaceous Woodcreeper
Plain Antvireo
Plumbeous Pigeon
Red-eyed Vireo
Rufous-bellied Thrush
Rufous-browed Peppershrike
Rufous-capped Spinetail
Rufous-collared Sparrow
Rufous-winged Antwren
Scaled Antbird
Social Flycatcher
Southern Beardless Tyrannulet
Southern Lapwing
Variable Antshrike
White-eyed Foliage-gleaner
White-shouldered Fire-eye
Yellow-olive Flatbill
