Golden-crowned Warbler
Southern Beardless Tyrannulet
Ochre-rumped Antbird
Southern Lapwing
Buff-throated Woodcreeper
Lesser Woodcreeper
Yellow-olive Flatbill
Blue Manakin
Eulers Flycatcher
Rufous-collared Sparrow
Green-winged Saltator
House Wren
Long-billed Wren
Social Flycatcher
Giant Antshrike
Ferruginous Antbird
Bananaquit
Red-eyed Vireo
Variable Antshrike
Rufous-winged Antwren
Scaled Antbird
Plumbeous Pigeon
White-eyed Foliage-gleaner
Rufous-browed Peppershrike
Plain Antvireo
Rufous-capped Spinetail
Barred Forest Falcon
White-shouldered Fire-eye
Olivaceous Woodcreeper
Rufous-bellied Thrush
